地区,Number,Province
北京,627,Beijing
天津,1245,Tianjin
贵州,1443,Guizhou
河北,1036,Hebei
山西,1505,Shanxi
内蒙古,847,Inner Mongolia
辽宁,2030,LIaoning
吉林,1209,Jilin
黑龙江,1554,Helonfjiang
上海,1640,Shanghai
江苏,2804,Jiangsu
浙江,2018,Zhejiang
安徽,1305,Anhui
福建,1384,Fujian
山东,1797,Shandong
河南,1199,Henan
湖南,1498,Hunan
广东,2431,Guangdong
广西,913,Guangxi
海南,865,Hainan
重庆,1205,Chongqing
云南,1158,Yunnan
四川,1436,Sichuan
江西,1221,Jiangxi
陕西,1400,Shanxi
西藏,0,Tibet
甘肃,796,Gansu
青海,384,Qinghai
宁夏,782,Ningxia
新疆,509,Xinjiang
,,
